"","comp1","comp2"
"TO3000756__chlo__cyto",0,0
"CYSTATHIONINE.BETA.LYASE.RXN__chlo",0,-0.190063190315253
"HOMOCYSTEINE.S.METHYLTRANSFERASE.RXN__cyto",0,0
"FADSYN.RXN__chlo",0,0
"TI3002149__cyto__extr",0,0
"TO3000526__cyto__extr",0,0
"TO3000526__chlo__cyto",0,0
"GDPPYPHOSKIN.RXN__cyto",0,0
"RXN.0__cyto",0,0
"X3.6.3.6.RXN__cyto",0,0
"TO3000876__cyto__extr",0,0
"TO3000876__chlo__cyto",0,0
"RXN.20592__cyto",0,0
"BETA.UREIDOPROPIONASE.RXN__cyto",0,0
"TI1000430__cyto__extr",0,0
"OXALODECARB.RXN__mito",0,-0.198985748163056
"OXALODECARB.RXN__cyto",0,-0.198985748066136
"OXALODECARB.RXN__chlo",0,-0.207372052447988
"ADENOSINE.KINASE.RXN__cyto",0,0
"RXN.14208__cyto",0,0
"RXN.14208__er",0,0
"X1.2.1.1.RXN__cyto",0,0
"RXN.14217__er",0,0
"X1.5.1.20.RXN__cyto",0,0
"RXN0.5187__cyto",0,0
"CTPSYN.RXN__cyto",-0.358485533256249,0
"ATPASE.RXN__cyto",0,0
"ATPASE.RXN__chlo",0,0
"ATPASE.RXN__mito",0,0
"RXN.14325__cyto",-0.367991272531044,0
"PPGPPSYN.RXN__cyto",0,0
"RXN.12199__cyto",0,0
"RXN.12199__er",0,0
"RXN.10770__chlo",0,0
"THRESYN.RXN__chlo",0,0
"RXN.20533__cyto",0,0
"ACETYLPUTRESCINE.DEACETYLASE.RXN__cyto",0,0
"PROLINE.MULTI__cyto",0,0
"RXN.16910__chlo",0,0
"X5.OXOPROLINASE.ATP.HYDROLYSING.RXN__cyto",0,0
"TO1000223__chlo__cyto",0,0
"NITRATE.REDUCTASE.NADH.RXN__cyto",0,0
"TO0000304__cyto__extr",0,0
"GLUTDEHYD.RXN__mito",0,0
"GLUTDEHYD.RXN__cyto",0,0
"SORBITOL.6.PHOSPHATASE.RXN__cyto",0,0
"TI3000296__cyto__extr",0,0
"TI3000296__chlo__cyto",0,0
"RXN.20593__cyto",0,0
"RXN.13398__chlo",0,0
"TI3002531__cyto__extr",0,0
"TI3001666__cyto__extr",0,0
"TI3001666__chlo__cyto",0,0
"ACYLCOASYN.RXN__pero",0,0
"ACYLCOASYN.RXN__mito",0,0
"CITSYN.RXN__mito",0,0
"CITSYN.RXN__pero",0,0
"RXN0.1132__mito",0,0
"RXN0.1132__chlo",0,0
"RXN.8730__cyto",0,0
"X2.4.1.123.RXN__cyto",0,0
"ASNSYNA.RXN__mito",0,0
"ASNSYNA.RXN__chlo",0,0
"ASNSYNA.RXN__cyto",0,0
"TO3000638__cyto__extr",0,0
"X2.7.7.1.RXN__cyto",0,0
"RXN.18484__cyto",0,0
"PHOSPHATIDYLINOSITOL.3.PHOSPHATASE.RXN__cyto",0,0
"RXN.16889__cyto",0,0
"CARBPSYN.RXN__chlo",0,0
"TI0001113__cyto__extr",0,0
"RXN0.6491__mito",0,0
"TO3000843__cyto__extr",0,0
"TO3000843__chlo__cyto",0,0
"RXN0.5462__cyto",0,0
"PHOSPHOENOLPYRUVATE.PHOSPHATASE.RXN__cyto",0,-0.198985748229351
"RIBOFLAVINKIN.RXN__chlo",0,0
"RIBOFLAVINKIN.RXN__cyto",0,0
"CYTIDEAM2.RXN__mito",-0.367992921342719,0
"RXN.7984__chlo",0,0
"RXN.14198__cyto",0,0
"RXN.14198__er",0,0
"NADPYROPHOSPHAT.RXN__cyto",0,0
"GALACTOKIN.RXN__cyto",0,0
"RXN.10862__cyto",0,0
"RXN.10862__chlo",0,0
"RXN.10862__mito",0,0
"GLUCONOKIN.RXN__cyto",0,0
"TI3002709__cyto__extr",0,0
"RXN.12959__er",0,0
"TO1000038__golgi__cyto",0,0
"RXN.7572__cyto",-0.0183728538882833,0
"RXN.16380__pero",0,0
"RXN.16380__er",0,0
"CYTIKIN.RXN__mito",0,0
"CYTIKIN.RXN__cyto",0,0
"ASPCARBTRANS.RXN__mito",0,0
"RXN.14026__cyto",0,0
"RXN.14026__mito",0,0
"GLYCOLATEDEHYDRO.RXN__chlo",-0.0347650204465029,0
"TO3000696__cyto__extr",0,0
"ASPARTATEKIN.RXN__chlo",0,0
"RXN.13193__chlo",0,0
"FRUCTOKINASE.RXN__chlo",0,0
"FRUCTOKINASE.RXN__cyto",0,0
"RXN.12196__cyto",0,0
"RXN.12196__er",0,0
"X3.PHOSPHOGLYCERATE.PHOSPHATASE.RXN__cyto",0,-0.000427022564819687
"TI0001741__cyto__extr",0,0
"SUCROSE.PHOSPHATE.SYNTHASE.RXN__chlo",0,0
"SUCROSE.PHOSPHATE.SYNTHASE.RXN__cyto",0,0
"GTPPYPHOSKIN.RXN__cyto",0,0
"ATP.CITRATE.PRO.S..LYASE.RXN__mito",0,0
"ATP.CITRATE.PRO.S..LYASE.RXN__cyto",0,0
"ATP.CITRATE.PRO.S..LYASE.RXN__chlo",0,0
