"","comp1","comp2"
"xylose",0,0
"xylonic.acid",0,0
"vanillic.acid",0,0
"valine",0,-0.129046040272175
"urea",0,0
"uracil",0,0
"UDP.glucuronic.acid",0.123476199784458,0
"tyrosol",0,0
"tyrosine",0,0
"tryptophan",0,-0.0848102835844917
"trehalose",0,0
"thymidine",0,0
"threonine",0,0
"threonic.acid",-0.349968633223896,0
"tartaric.acid",-0.273702354552846,0
"sucrose",0.331140365488435,0
"succinic.acid",0,0
"stearic.acid",0,0
"sophorose",0,0
"shikimic.acid",0,0.204729675264202
"serine",0,-0.0397987855085237
"salicylaldehyde",0,0
"saccharic.acid",0,0
"ribose",0,0
"ribonic.acid",0,0
"raffinose",-0.0244743165481507,0
"quinic.acid",0,0
"pyruvic.acid",0,0
"pyrophosphate",0,0
"putrescine",0,0
"propane.1.3.diol.NIST",0,0
"proline",0,0
"pipecolinic.acid",0,-0.0772454511173028
"phosphate",0,0
"phenylethylamine",0,0
"phenylethanol.NIST",0,0
"phenylalanine",0,0
"phenol",0,0
"pentonic.acid",0,0
"pentitol",0,0
"pelargonic.acid",0,0
"palmitic.acid",0,0
"oxoproline",0,0
"ornithine",0,0
"oleic.acid",0,0
"octanol.NIST",0,0
"octadecanol",0,0
"N.acetylmannosamine",0,0
"n.acetyl.d.hexosamine",0,0
"myristic.acid",0,0
"myo.inositol",0,0
"mucic.acid",0,0
"montanic.acid",0,0
"maltose",0.158656717363318,0
"maltitol",0,0
"malic.acid",-0.388386742075908,0
"maleic.acid",0,0
"lyxitol",0,0
"lysine",0,0
"levoglucosan",0,0
"leucrose",0,0
"leucine",0,-0.172659669030721
"lauric.acid",0,0
"lactose",0,0
"lactitol",0.239142212832352,0
"lactic.acid",0,0
"isothreonic.acid",0,0
"isoleucine",0,0
"isohexonic.acid",0,0
"isogluconic.acid",0,0
"isocitric.acid",-0.09551820793442,0
"hydroxylamine",0,0
"hydroxycarbamate.NIST",0,0
"hexitol",0.259658232519759,0
"hexadecane",0,0
"heptadecanoic.acid",0,0
"glycolic.acid",0,0
"glycine",0,0
"glycerol.alpha.phosphate",0,0
"glycerol.3.galactoside",0,0
"glycerol",0,0
"glyceric.acid",0,0
"glutamine",0,0
"glutamic.acid",0.0682268129118913,-0.103809609500886
"glucose.6.phosphate",0,0
"glucose.1.phosphate",0,0
"glucose",0.350572213165922,0
"gluconic.acid",0,0
"glucoheptulose",0.0225265053929655,0
"galacturonic.acid",0.0254833063315867,0
"galactonic.acid",0,0
"galactinol",-0.126158512694438,0
"fumaric.acid",0,0
"fructose",0.326122728168388,0
"ethanolamine",0,0
"ethanol.phosphate.NIST",0,0
"erythronic.acid",0,0
"erythritol",0,0
"epsilon.caprolactam",0,0
"epicatechin",0,0
"dodecanol",0,0
"digalacturonic.acid",0,0
"deoxypentitol",0,0
"dehydroascorbic.acid",0,0
"dehydroabietic.acid",0,0
"citrulline",0,0
"citric.acid",-0.061756132788865,0
"citramalic.acid",0,0
"cerotinic.aci",0,0
"cellobiose",0.12642609019251,0
"catechin",0,0
"caprylic.acid",0,0
"capric.acid",0,0
"butyraldehyde",0,0
"butane.2.3.diol.NIST",0,0
"beta.sitosterol",0,0
"beta.gentiobiose",0,-0.170721694553474
"beta.alanine",0,0
"benzoic.acid",0,0
"aspartic.acid",0,0
"asparagine",0,0
"arachidic.acid",0,0
"alpha.ketoglutarate",-0.160580759598726,0
"alanine",0,-0.148442106481149
"adipic.acid",0,0
"acetophenone.NIST",0,0
"X6.deoxyglucose",0.0838765207931235,0
"X6.deoxyglucitol",0,0
"X4.aminobutyric.acid",0,0
"X3.6.anhydro.D.galactose",0,0
"X3.4.dihydroxybenzoic.acid",0,0
"X2.isopropylmalic.acid",0,0
"X2.hydroxyglutaric.acid",0,0
"X2.deoxyerythritol",0,0
"X1.2.anhydro.myo.inositol.NIST",0.212394540186333,0
"X1.monostearin",0,0
"X1.monopalmitin",0,0
"X1.methylgalactose.NIST",0,0
"X1.kestose",0,0
"X1.deoxyerythritol",0,0
"X.epi.catechin",0,0
"X1.3.5.benzenetriol",0,0
"X13.docosenamide",0,0
"X302.0426.4.669811",0,0
"X302.0426.4.669812",0,0
"X9.octadecenamide",0,0
"adenosine",0,0
"benzenemethanol",-0.0307881611320323,0
"benzyl.tetradecyl.dimethylammonium.cation",0,0
"beta.D.glucopyranose",0,0
"caftaric.acid",0,0
"cyanidin",0,0
"cyanidin.3..6...p.coumarylglucoside.",0,0
"cyanidin.3.glucoside",0,0
"cyanidin.3.5.O.diglucoside",0,0
"D.erythro.dihydrosphingosine",0,0
"D.glucose.6.phosphate",0.0239618790434543,0
"delphinidin.3..6...acetylglucoside.",0,0.402055901651537
"delphinidin.3.O.glucoside",0,0.293652725970805
"didodecyl.3.3..thiodipropionate.oxide",0,0
"DL.Indole.3.lactic.acid",0,0
"epigallocatechin",0,0.0257242446187569
"free.isorhamnetin.",0,0
"free.Laricitrin.",0,0
"free.quercetin.",0,0
"isorhamnetin",0.0593578779939145,0
"isorhamnetin.3.O.glucoside",0,0
"kaempferol",0,0.0493158839817974
"kaempferol.3.glucoside",0,0
"L.aspartic.acid",0,0
"L.methionine",0,0
"L.saccharopine",0,0
"lactulose",0,0
"laricitrin",0,0.0622541222426827
"laricitrin.3.glucoside",0,0.0240213481076357
"leucine.1",0,0
"malvidin",0,0
"malvidin.3..6...acetylglucoside.",0,0.0808464750419388
"malvidin.3.O.glucoside",0.11661047412743,0
"myricetin",0,0.277174608643979
"myricetin.3.glucoside",0,0.27422538574447
"myricetin.3.glucuronide",0,0.00741004602671605
"N.methylnicotinic.acid.cation",0,0
"N8.acetylspermidine",0,0
"oleanolic.acid",0,0
"p.coumaric.acid",0,0
"pantothenic.acid",0,0
"peonidin",0,0
"peonidin.3..6...acetylglucoside.",0,0.45075046261037
"peonidin.3.glucoside",0,0
"petunidin",0,0
"petunidin.3..6...acetylglucoside.",0,0.417347111011999
"petunidin.3.glucoside",0,0.152112973376711
"procyanidin.trimer",0,0
"proline.1",0,0
"quercetin.3.glucoside",0,0.136818835511036
"quercetin.3.glucuronide",0,0
"resveratrol",0,0
"resveratrol.dimer..pallidol.or.viniferin.",0,-0.0406405429970115
"spirotetramat",0,0
"splitomicin",0,0
"taxifolin",0,-0.00359060812570494
"tributyl.phosphate",0,0
"tyrosine.1",0,0
