"","comp1","comp2"
"xylose",0,0
"xylonic.acid",0.102968470476319,0
"vanillic.acid",0,0
"valine",0,0
"urea",0,0
"uracil",0,0
"UDP.glucuronic.acid",0.25385517774442,0
"tyrosol",0,0
"tyrosine",0,0
"tryptophan",0,0
"trehalose",0,0
"thymidine",0,0
"threonine",0,0.0241685025696627
"threonic.acid",-0.283085955550701,0
"tartaric.acid",-0.238551608619358,0
"sucrose",0.324475305789979,0
"succinic.acid",0,0
"stearic.acid",0,0
"sophorose",0,0
"shikimic.acid",0,-0.288269659642127
"serine",0,0
"salicylaldehyde",0,0
"saccharic.acid",0,0
"ribose",0,0
"ribonic.acid",0,0
"raffinose",-0.1810791112323,0
"quinic.acid",0,0
"pyruvic.acid",0,0
"pyrophosphate",0,0
"putrescine",0,-0.0393314254696011
"propane.1.3.diol.NIST",0,0.0270751464732926
"proline",0,0
"pipecolinic.acid",0,0
"phosphate",0,0
"phenylethylamine",0,0
"phenylethanol.NIST",0,0
"phenylalanine",0,0
"phenol",0,0
"pentonic.acid",0,0
"pentitol",0,0
"pelargonic.acid",0,-0.0705333857724084
"palmitic.acid",0,0
"oxoproline",0,0
"ornithine",0,0
"oleic.acid",0,0
"octanol.NIST",0,0
"octadecanol",0,0
"N.acetylmannosamine",0,0
"n.acetyl.d.hexosamine",0,0
"myristic.acid",0,0
"myo.inositol",0,-0.0727558861981196
"mucic.acid",0,-0.00481831166144118
"montanic.acid",0,0
"maltose",0.123519018850862,0
"maltitol",0,0
"malic.acid",-0.407052362244066,0
"maleic.acid",0,0
"lyxitol",0,0
"lysine",0,0
"levoglucosan",0,0
"leucrose",0.0133396743767933,0
"leucine",0.0622900342919309,0
"lauric.acid",0,0
"lactose",0,0
"lactitol",0.203669777157751,0
"lactic.acid",0,0
"isothreonic.acid",0,0
"isoleucine",0,0
"isohexonic.acid",0,0
"isogluconic.acid",0,0
"isocitric.acid",-0.0845973122272039,0
"hydroxylamine",0,0
"hydroxycarbamate.NIST",0,0
"hexitol",0.159499496587477,-0.0268199405909545
"hexadecane",0,0
"heptadecanoic.acid",0,0
"glycolic.acid",0,0
"glycine",0,0
"glycerol.alpha.phosphate",0,0
"glycerol.3.galactoside",0,0
"glycerol",0,0
"glyceric.acid",0,0
"glutamine",0,0
"glutamic.acid",0.103186700150753,0
"glucose.6.phosphate",0,0
"glucose.1.phosphate",0,0
"glucose",0.329625255573132,0
"gluconic.acid",0,0
"glucoheptulose",0,0
"galacturonic.acid",0,0
"galactonic.acid",0,-0.0579875417517293
"galactinol",-0.19880945691527,0
"fumaric.acid",0,0
"fructose",0.21730356897233,0
"ethanolamine",0,0
"ethanol.phosphate.NIST",0,0
"erythronic.acid",0,0
"erythritol",0,0
"epsilon.caprolactam",0,0
"epicatechin",0,0
"dodecanol",0,0
"digalacturonic.acid",0,0
"deoxypentitol",0,0
"dehydroascorbic.acid",0,0
"dehydroabietic.acid",0,0
"citrulline",0,0
"citric.acid",0,0
"citramalic.acid",0,0
"cerotinic.aci",0,0
"cellobiose",0.0636876434259039,0
"catechin",0,0
"caprylic.acid",0,0
"capric.acid",0,-0.0653608578609222
"butyraldehyde",0,0
"butane.2.3.diol.NIST",0,0
"beta.sitosterol",0,0
"beta.gentiobiose",0,0
"beta.alanine",0,-0.166343390602671
"benzoic.acid",0,0
"aspartic.acid",0,0
"asparagine",0,0
"arachidic.acid",0,0
"alpha.ketoglutarate",-0.227897798939997,0
"alanine",0,0
"adipic.acid",0,0
"acetophenone.NIST",0,0
"X6.deoxyglucose",0.146488688042315,0
"X6.deoxyglucitol",0,0
"X4.aminobutyric.acid",0.0159559715396556,0
"X3.6.anhydro.D.galactose",0,0
"X3.4.dihydroxybenzoic.acid",0,0
"X2.isopropylmalic.acid",0,0
"X2.hydroxyglutaric.acid",0,0
"X2.deoxyerythritol",0,0
"X1.2.anhydro.myo.inositol.NIST",0.257979406138341,0
"X1.monostearin",0,0
"X1.monopalmitin",0,0
"X1.methylgalactose.NIST",0,0
"X1.kestose",-0.0295454797368268,0
"X1.deoxyerythritol",0,0
"X.epi.catechin",0,0
"X1.3.5.benzenetriol",0,0
"X13.docosenamide",0,0
"X302.0426.4.669811",0,0
"X302.0426.4.669812",0,-0.0101244152776194
"X9.octadecenamide",0,-0.148869683436801
"adenosine",0,0
"benzenemethanol",0,0
"benzyl.tetradecyl.dimethylammonium.cation",0,0
"beta.D.glucopyranose",0,0
"caftaric.acid",0,0
"cyanidin",0,0
"cyanidin.3..6...p.coumarylglucoside.",0,0
"cyanidin.3.glucoside",0,0
"cyanidin.3.5.O.diglucoside",0,0
"D.erythro.dihydrosphingosine",0,0
"D.glucose.6.phosphate",0,0
"delphinidin.3..6...acetylglucoside.",0,-0.0642270045254337
"delphinidin.3.O.glucoside",0,0
"didodecyl.3.3..thiodipropionate.oxide",0,0
"DL.Indole.3.lactic.acid",0,0
"epigallocatechin",0,0
"ferulic.acid",0,-0.432014896158645
"free.isorhamnetin.",0,0
"free.Laricitrin.",0,0
"free.quercetin.",0,0
"isorhamnetin",0.00218315554182857,0
"isorhamnetin.3.O.glucoside",0,0
"kaempferol",0,0
"kaempferol.3.glucoside",0,0
"L.aspartic.acid",0,0
"L.methionine",0,0
"L.saccharopine",0,0
"lactulose",0,0
"laricitrin",0,0
"laricitrin.3.glucoside",0,0
"leucine.1",0,0
"malvidin",0,-0.0879002554495803
"malvidin.3..6...acetylglucoside.",0,-0.302527521806132
"malvidin.3..6...p.coumarylglucoside.",0,-0.398578691374276
"malvidin.3.O.glucoside",0.198915640206313,0
"myricetin",0,-0.0820279938728829
"myricetin.3.glucoside",0,0
"myricetin.3.glucuronide",0,0
"N.methylnicotinic.acid.cation",0,0
"N8.acetylspermidine",0,0
"oleanolic.acid",0,0
"p.coumaric.acid",0,0
"pantothenic.acid",0,0
"peonidin",0,0
"peonidin.3..6...acetylglucoside.",0,-0.148812024411369
"peonidin.3..6...p.coumarylglucoside.",0,-0.434272054250178
"peonidin.3.glucoside",0,0
